ar;val;kod;namn;parti_kalla;parti;roster;andel
2014;rd;14800001;Uppsamlingsdistrikt;M;M;574;24.40
2014;rd;14800001;Uppsamlingsdistrikt;C;C;67;2.85
2014;rd;14800001;Uppsamlingsdistrikt;FP;L;117;4.97
2014;rd;14800001;Uppsamlingsdistrikt;KD;KD;81;3.44
2014;rd;14800001;Uppsamlingsdistrikt;S;S;584;24.83
2014;rd;14800001;Uppsamlingsdistrikt;V;V;205;8.72
2014;rd;14800001;Uppsamlingsdistrikt;MP;MP;295;12.54
2014;rd;14800001;Uppsamlingsdistrikt;SD;SD;214;9.10
2014;rd;14800001;Uppsamlingsdistrikt;FI;FI;172;7.31
2014;rd;14800001;Uppsamlingsdistrikt;OVR;ÖVR;43;1.83
2014;rd;14800002;Uppsamlingsdistrikt;M;M;531;21.15
2014;rd;14800002;Uppsamlingsdistrikt;C;C;95;3.78
2014;rd;14800002;Uppsamlingsdistrikt;FP;L;154;6.13
2014;rd;14800002;Uppsamlingsdistrikt;KD;KD;71;2.83
2014;rd;14800002;Uppsamlingsdistrikt;S;S;635;25.29
2014;rd;14800002;Uppsamlingsdistrikt;V;V;251;10.00
2014;rd;14800002;Uppsamlingsdistrikt;MP;MP;369;14.70
2014;rd;14800002;Uppsamlingsdistrikt;SD;SD;187;7.45
2014;rd;14800002;Uppsamlingsdistrikt;FI;FI;172;6.85
2014;rd;14800002;Uppsamlingsdistrikt;OVR;ÖVR;46;1.83
2014;rd;14800003;Uppsamlingsdistrikt;M;M;1337;32.40
2014;rd;14800003;Uppsamlingsdistrikt;C;C;195;4.72
2014;rd;14800003;Uppsamlingsdistrikt;FP;L;320;7.75
2014;rd;14800003;Uppsamlingsdistrikt;KD;KD;147;3.56
2014;rd;14800003;Uppsamlingsdistrikt;S;S;556;13.47
2014;rd;14800003;Uppsamlingsdistrikt;V;V;290;7.03
2014;rd;14800003;Uppsamlingsdistrikt;MP;MP;578;14.01
2014;rd;14800003;Uppsamlingsdistrikt;SD;SD;276;6.69
2014;rd;14800003;Uppsamlingsdistrikt;FI;FI;370;8.97
2014;rd;14800003;Uppsamlingsdistrikt;OVR;ÖVR;58;1.41
2014;rd;14800004;Uppsamlingsdistrikt;M;M;815;30.59
2014;rd;14800004;Uppsamlingsdistrikt;C;C;113;4.24
2014;rd;14800004;Uppsamlingsdistrikt;FP;L;188;7.06
2014;rd;14800004;Uppsamlingsdistrikt;KD;KD;113;4.24
2014;rd;14800004;Uppsamlingsdistrikt;S;S;379;14.23
2014;rd;14800004;Uppsamlingsdistrikt;V;V;200;7.51
2014;rd;14800004;Uppsamlingsdistrikt;MP;MP;325;12.20
2014;rd;14800004;Uppsamlingsdistrikt;SD;SD;200;7.51
2014;rd;14800004;Uppsamlingsdistrikt;FI;FI;285;10.70
2014;rd;14800004;Uppsamlingsdistrikt;OVR;ÖVR;46;1.73
2014;rd;14801011;Majorna-Linné, Klippan;M;M;198;13.75
2014;rd;14801011;Majorna-Linné, Klippan;C;C;22;1.53
2014;rd;14801011;Majorna-Linné, Klippan;FP;L;71;4.93
2014;rd;14801011;Majorna-Linné, Klippan;KD;KD;25;1.74
2014;rd;14801011;Majorna-Linné, Klippan;S;S;271;18.82
2014;rd;14801011;Majorna-Linné, Klippan;V;V;283;19.65
2014;rd;14801011;Majorna-Linné, Klippan;MP;MP;206;14.31
2014;rd;14801011;Majorna-Linné, Klippan;SD;SD;126;8.75
2014;rd;14801011;Majorna-Linné, Klippan;FI;FI;223;15.49
2014;rd;14801011;Majorna-Linné, Klippan;OVR;ÖVR;15;1.04
2014;rd;14801012;Majorna-Linné, Kungsladugård;M;M;128;10.53
2014;rd;14801012;Majorna-Linné, Kungsladugård;C;C;36;2.96
2014;rd;14801012;Majorna-Linné, Kungsladugård;FP;L;54;4.44
2014;rd;14801012;Majorna-Linné, Kungsladugård;KD;KD;11;0.91
2014;rd;14801012;Majorna-Linné, Kungsladugård;S;S;198;16.30
2014;rd;14801012;Majorna-Linné, Kungsladugård;V;V;267;21.98
2014;rd;14801012;Majorna-Linné, Kungsladugård;MP;MP;177;14.57
2014;rd;14801012;Majorna-Linné, Kungsladugård;SD;SD;90;7.41
2014;rd;14801012;Majorna-Linné, Kungsladugård;FI;FI;239;19.67
2014;rd;14801012;Majorna-Linné, Kungsladugård;OVR;ÖVR;15;1.23
2014;rd;14801013;Majorna-Linné, Mariaplan;M;M;101;9.27
2014;rd;14801013;Majorna-Linné, Mariaplan;C;C;28;2.57
2014;rd;14801013;Majorna-Linné, Mariaplan;FP;L;38;3.49
2014;rd;14801013;Majorna-Linné, Mariaplan;KD;KD;16;1.47
2014;rd;14801013;Majorna-Linné, Mariaplan;S;S;186;17.08
2014;rd;14801013;Majorna-Linné, Mariaplan;V;V;248;22.77
2014;rd;14801013;Majorna-Linné, Mariaplan;MP;MP;158;14.51
2014;rd;14801013;Majorna-Linné, Mariaplan;SD;SD;69;6.34
2014;rd;14801013;Majorna-Linné, Mariaplan;FI;FI;234;21.49
2014;rd;14801013;Majorna-Linné, Mariaplan;OVR;ÖVR;11;1.01
2014;rd;14801014;Majorna-Linné, Silverkällan;M;M;86;7.14
2014;rd;14801014;Majorna-Linné, Silverkällan;C;C;17;1.41
2014;rd;14801014;Majorna-Linné, Silverkällan;FP;L;40;3.32
2014;rd;14801014;Majorna-Linné, Silverkällan;KD;KD;20;1.66
2014;rd;14801014;Majorna-Linné, Silverkällan;S;S;227;18.84
2014;rd;14801014;Majorna-Linné, Silverkällan;V;V;291;24.15
2014;rd;14801014;Majorna-Linné, Silverkällan;MP;MP;207;17.18
2014;rd;14801014;Majorna-Linné, Silverkällan;SD;SD;86;7.14
2014;rd;14801014;Majorna-Linné, Silverkällan;FI;FI;215;17.84
2014;rd;14801014;Majorna-Linné, Silverkällan;OVR;ÖVR;16;1.33
2014;rd;14801015;Majorna-Linné, Skytteskogen;M;M;222;15.70
2014;rd;14801015;Majorna-Linné, Skytteskogen;C;C;76;5.37
2014;rd;14801015;Majorna-Linné, Skytteskogen;FP;L;112;7.92
2014;rd;14801015;Majorna-Linné, Skytteskogen;KD;KD;60;4.24
2014;rd;14801015;Majorna-Linné, Skytteskogen;S;S;166;11.74
2014;rd;14801015;Majorna-Linné, Skytteskogen;V;V;199;14.07
2014;rd;14801015;Majorna-Linné, Skytteskogen;MP;MP;245;17.33
2014;rd;14801015;Majorna-Linné, Skytteskogen;SD;SD;82;5.80
2014;rd;14801015;Majorna-Linné, Skytteskogen;FI;FI;238;16.83
2014;rd;14801015;Majorna-Linné, Skytteskogen;OVR;ÖVR;14;0.99
2014;rd;14801016;Majorna-Linné, Svalebo;M;M;139;13.60
2014;rd;14801016;Majorna-Linné, Svalebo;C;C;33;3.23
2014;rd;14801016;Majorna-Linné, Svalebo;FP;L;78;7.63
2014;rd;14801016;Majorna-Linné, Svalebo;KD;KD;33;3.23
2014;rd;14801016;Majorna-Linné, Svalebo;S;S;173;16.93
2014;rd;14801016;Majorna-Linné, Svalebo;V;V;150;14.68
2014;rd;14801016;Majorna-Linné, Svalebo;MP;MP;147;14.38
2014;rd;14801016;Majorna-Linné, Svalebo;SD;SD;89;8.71
2014;rd;14801016;Majorna-Linné, Svalebo;FI;FI;162;15.85
2014;rd;14801016;Majorna-Linné, Svalebo;OVR;ÖVR;18;1.76
2014;rd;14801021;Majorna-Linné, Sandarne;M;M;147;10.89
2014;rd;14801021;Majorna-Linné, Sandarne;C;C;26;1.93
2014;rd;14801021;Majorna-Linné, Sandarne;FP;L;64;4.74
2014;rd;14801021;Majorna-Linné, Sandarne;KD;KD;38;2.81
2014;rd;14801021;Majorna-Linné, Sandarne;S;S;232;17.19
2014;rd;14801021;Majorna-Linné, Sandarne;V;V;266;19.70
2014;rd;14801021;Majorna-Linné, Sandarne;MP;MP;200;14.81
2014;rd;14801021;Majorna-Linné, Sandarne;SD;SD;137;10.15
2014;rd;14801021;Majorna-Linné, Sandarne;FI;FI;211;15.63
2014;rd;14801021;Majorna-Linné, Sandarne;OVR;ÖVR;29;2.15
2014;rd;14801031;Majorna-Linné, Godhem;M;M;122;12.19
2014;rd;14801031;Majorna-Linné, Godhem;C;C;31;3.10
2014;rd;14801031;Majorna-Linné, Godhem;FP;L;63;6.29
2014;rd;14801031;Majorna-Linné, Godhem;KD;KD;31;3.10
2014;rd;14801031;Majorna-Linné, Godhem;S;S;180;17.98
2014;rd;14801031;Majorna-Linné, Godhem;V;V;212;21.18
2014;rd;14801031;Majorna-Linné, Godhem;MP;MP;146;14.59
2014;rd;14801031;Majorna-Linné, Godhem;SD;SD;56;5.59
2014;rd;14801031;Majorna-Linné, Godhem;FI;FI;145;14.49
2014;rd;14801031;Majorna-Linné, Godhem;OVR;ÖVR;15;1.50
2014;rd;14801032;Majorna-Linné, Gråberget;M;M;230;17.49
2014;rd;14801032;Majorna-Linné, Gråberget;C;C;56;4.26
