ar;val;kod;namn;parti_kalla;parti;roster;andel
2014;rf;14800001;Uppsamlingsdistrikt;M;M;357;20.61
2014;rf;14800001;Uppsamlingsdistrikt;C;C;40;2.31
2014;rf;14800001;Uppsamlingsdistrikt;FP;L;90;5.20
2014;rf;14800001;Uppsamlingsdistrikt;KD;KD;61;3.52
2014;rf;14800001;Uppsamlingsdistrikt;S;S;510;29.45
2014;rf;14800001;Uppsamlingsdistrikt;V;V;197;11.37
2014;rf;14800001;Uppsamlingsdistrikt;MP;MP;253;14.61
2014;rf;14800001;Uppsamlingsdistrikt;SD;SD;126;7.27
2014;rf;14800001;Uppsamlingsdistrikt;FI;FI;43;2.48
2014;rf;14800001;Uppsamlingsdistrikt;1209;1209;1;0.06
2014;rf;14800001;Uppsamlingsdistrikt;1242;1242;0;
2014;rf;14800001;Uppsamlingsdistrikt;KrVP;KRVP;2;0.12
2014;rf;14800001;Uppsamlingsdistrikt;PP;PP;15;0.87
2014;rf;14800001;Uppsamlingsdistrikt;RS;RS;4;0.23
2014;rf;14800001;Uppsamlingsdistrikt;SPVG;SPVG;7;0.40
2014;rf;14800001;Uppsamlingsdistrikt;SVP;SVP;4;0.23
2014;rf;14800001;Uppsamlingsdistrikt;VägV;VÄGV;15;0.87
2014;rf;14800001;Uppsamlingsdistrikt;ÖVR;ÖVR;7;0.40
2014;rf;14800002;Uppsamlingsdistrikt;M;M;344;18.19
2014;rf;14800002;Uppsamlingsdistrikt;C;C;59;3.12
2014;rf;14800002;Uppsamlingsdistrikt;FP;L;102;5.39
2014;rf;14800002;Uppsamlingsdistrikt;KD;KD;50;2.64
2014;rf;14800002;Uppsamlingsdistrikt;S;S;567;29.98
2014;rf;14800002;Uppsamlingsdistrikt;V;V;243;12.85
2014;rf;14800002;Uppsamlingsdistrikt;MP;MP;305;16.13
2014;rf;14800002;Uppsamlingsdistrikt;SD;SD;112;5.92
2014;rf;14800002;Uppsamlingsdistrikt;FI;FI;52;2.75
2014;rf;14800002;Uppsamlingsdistrikt;1209;1209;2;0.11
2014;rf;14800002;Uppsamlingsdistrikt;1242;1242;0;
2014;rf;14800002;Uppsamlingsdistrikt;KrVP;KRVP;2;0.11
2014;rf;14800002;Uppsamlingsdistrikt;PP;PP;19;1.00
2014;rf;14800002;Uppsamlingsdistrikt;RS;RS;5;0.26
2014;rf;14800002;Uppsamlingsdistrikt;SPVG;SPVG;7;0.37
2014;rf;14800002;Uppsamlingsdistrikt;SVP;SVP;2;0.11
2014;rf;14800002;Uppsamlingsdistrikt;VägV;VÄGV;13;0.69
2014;rf;14800002;Uppsamlingsdistrikt;ÖVR;ÖVR;7;0.37
2014;rf;14800003;Uppsamlingsdistrikt;M;M;655;26.24
2014;rf;14800003;Uppsamlingsdistrikt;C;C;125;5.01
2014;rf;14800003;Uppsamlingsdistrikt;FP;L;222;8.89
2014;rf;14800003;Uppsamlingsdistrikt;KD;KD;74;2.96
2014;rf;14800003;Uppsamlingsdistrikt;S;S;427;17.11
2014;rf;14800003;Uppsamlingsdistrikt;V;V;297;11.90
2014;rf;14800003;Uppsamlingsdistrikt;MP;MP;438;17.55
2014;rf;14800003;Uppsamlingsdistrikt;SD;SD;113;4.53
2014;rf;14800003;Uppsamlingsdistrikt;FI;FI;77;3.08
2014;rf;14800003;Uppsamlingsdistrikt;1209;1209;1;0.04
2014;rf;14800003;Uppsamlingsdistrikt;1242;1242;0;
2014;rf;14800003;Uppsamlingsdistrikt;KrVP;KRVP;0;
2014;rf;14800003;Uppsamlingsdistrikt;PP;PP;17;0.68
2014;rf;14800003;Uppsamlingsdistrikt;RS;RS;3;0.12
2014;rf;14800003;Uppsamlingsdistrikt;SPVG;SPVG;7;0.28
2014;rf;14800003;Uppsamlingsdistrikt;SVP;SVP;3;0.12
2014;rf;14800003;Uppsamlingsdistrikt;VägV;VÄGV;17;0.68
2014;rf;14800003;Uppsamlingsdistrikt;ÖVR;ÖVR;20;0.80
2014;rf;14800004;Uppsamlingsdistrikt;M;M;413;24.32
2014;rf;14800004;Uppsamlingsdistrikt;C;C;65;3.83
2014;rf;14800004;Uppsamlingsdistrikt;FP;L;117;6.89
2014;rf;14800004;Uppsamlingsdistrikt;KD;KD;79;4.65
2014;rf;14800004;Uppsamlingsdistrikt;S;S;300;17.67
2014;rf;14800004;Uppsamlingsdistrikt;V;V;246;14.49
2014;rf;14800004;Uppsamlingsdistrikt;MP;MP;273;16.08
2014;rf;14800004;Uppsamlingsdistrikt;SD;SD;93;5.48
2014;rf;14800004;Uppsamlingsdistrikt;FI;FI;65;3.83
2014;rf;14800004;Uppsamlingsdistrikt;1209;1209;3;0.18
2014;rf;14800004;Uppsamlingsdistrikt;1242;1242;0;
2014;rf;14800004;Uppsamlingsdistrikt;KrVP;KRVP;1;0.06
2014;rf;14800004;Uppsamlingsdistrikt;PP;PP;13;0.77
2014;rf;14800004;Uppsamlingsdistrikt;RS;RS;0;
2014;rf;14800004;Uppsamlingsdistrikt;SPVG;SPVG;4;0.24
2014;rf;14800004;Uppsamlingsdistrikt;SVP;SVP;1;0.06
2014;rf;14800004;Uppsamlingsdistrikt;VägV;VÄGV;20;1.18
2014;rf;14800004;Uppsamlingsdistrikt;ÖVR;ÖVR;5;0.29
2014;rf;14801011;Majorna-Linné, Klippan;M;M;184;13.00
2014;rf;14801011;Majorna-Linné, Klippan;C;C;19;1.34
2014;rf;14801011;Majorna-Linné, Klippan;FP;L;75;5.30
2014;rf;14801011;Majorna-Linné, Klippan;KD;KD;30;2.12
2014;rf;14801011;Majorna-Linné, Klippan;S;S;267;18.87
2014;rf;14801011;Majorna-Linné, Klippan;V;V;412;29.12
2014;rf;14801011;Majorna-Linné, Klippan;MP;MP;262;18.52
2014;rf;14801011;Majorna-Linné, Klippan;SD;SD;101;7.14
2014;rf;14801011;Majorna-Linné, Klippan;FI;FI;21;1.48
2014;rf;14801011;Majorna-Linné, Klippan;1209;1209;1;0.07
2014;rf;14801011;Majorna-Linné, Klippan;1242;1242;0;
2014;rf;14801011;Majorna-Linné, Klippan;KrVP;KRVP;0;
2014;rf;14801011;Majorna-Linné, Klippan;PP;PP;11;0.78
2014;rf;14801011;Majorna-Linné, Klippan;RS;RS;0;
2014;rf;14801011;Majorna-Linné, Klippan;SPVG;SPVG;4;0.28
2014;rf;14801011;Majorna-Linné, Klippan;SVP;SVP;1;0.07
2014;rf;14801011;Majorna-Linné, Klippan;VägV;VÄGV;19;1.34
2014;rf;14801011;Majorna-Linné, Klippan;ÖVR;ÖVR;8;0.57
2014;rf;14801012;Majorna-Linné, Kungsladugård;M;M;122;10.22
2014;rf;14801012;Majorna-Linné, Kungsladugård;C;C;29;2.43
2014;rf;14801012;Majorna-Linné, Kungsladugård;FP;L;48;4.02
2014;rf;14801012;Majorna-Linné, Kungsladugård;KD;KD;10;0.84
2014;rf;14801012;Majorna-Linné, Kungsladugård;S;S;213;17.84
2014;rf;14801012;Majorna-Linné, Kungsladugård;V;V;387;32.41
2014;rf;14801012;Majorna-Linné, Kungsladugård;MP;MP;265;22.19
2014;rf;14801012;Majorna-Linné, Kungsladugård;SD;SD;75;6.28
2014;rf;14801012;Majorna-Linné, Kungsladugård;FI;FI;16;1.34
2014;rf;14801012;Majorna-Linné, Kungsladugård;1209;1209;1;0.08
2014;rf;14801012;Majorna-Linné, Kungsladugård;1242;1242;0;
2014;rf;14801012;Majorna-Linné, Kungsladugård;KrVP;KRVP;1;0.08
2014;rf;14801012;Majorna-Linné, Kungsladugård;PP;PP;8;0.67
2014;rf;14801012;Majorna-Linné, Kungsladugård;RS;RS;0;
2014;rf;14801012;Majorna-Linné, Kungsladugård;SPVG;SPVG;3;0.25
2014;rf;14801012;Majorna-Linné, Kungsladugård;SVP;SVP;1;0.08
2014;rf;14801012;Majorna-Linné, Kungsladugård;VägV;VÄGV;13;1.09
2014;rf;14801012;Majorna-Linné, Kungsladugård;ÖVR;ÖVR;2;0.17
2014;rf;14801013;Majorna-Linné, Mariaplan;M;M;96;8.85
2014;rf;14801013;Majorna-Linné, Mariaplan;C;C;25;2.30
2014;rf;14801013;Majorna-Linné, Mariaplan;FP;L;44;4.06
2014;rf;14801013;Majorna-Linné, Mariaplan;KD;KD;11;1.01
2014;rf;14801013;Majorna-Linné, Mariaplan;S;S;182;16.77
2014;rf;14801013;Majorna-Linné, Mariaplan;V;V;379;34.93
2014;rf;14801013;Majorna-Linné, Mariaplan;MP;MP;229;21.11
2014;rf;14801013;Majorna-Linné, Mariaplan;SD;SD;58;5.35
2014;rf;14801013;Majorna-Linné, Mariaplan;FI;FI;18;1.66
2014;rf;14801013;Majorna-Linné, Mariaplan;1209;1209;0;
2014;rf;14801013;Majorna-Linné, Mariaplan;1242;1242;0;
2014;rf;14801013;Majorna-Linné, Mariaplan;KrVP;KRVP;0;
2014;rf;14801013;Majorna-Linné, Mariaplan;PP;PP;12;1.11
2014;rf;14801013;Majorna-Linné, Mariaplan;RS;RS;1;0.09
2014;rf;14801013;Majorna-Linné, Mariaplan;SPVG;SPVG;7;0.65
2014;rf;14801013;Majorna-Linné, Mariaplan;SVP;SVP;0;
2014;rf;14801013;Majorna-Linné, Mariaplan;VägV;VÄGV;14;1.29
2014;rf;14801013;Majorna-Linné, Mariaplan;ÖVR;ÖVR;9;0.83
2014;rf;14801014;Majorna-Linné, Silverkällan;M;M;85;7.11
2014;rf;14801014;Majorna-Linné, Silverkällan;C;C;17;1.42
2014;rf;14801014;Majorna-Linné, Silverkällan;FP;L;42;3.51
2014;rf;14801014;Majorna-Linné, Silverkällan;KD;KD;24;2.01
2014;rf;14801014;Majorna-Linné, Silverkällan;S;S;227;18.98
2014;rf;14801014;Majorna-Linné, Silverkällan;V;V;424;35.45
2014;rf;14801014;Majorna-Linné, Silverkällan;MP;MP;262;21.91
2014;rf;14801014;Majorna-Linné, Silverkällan;SD;SD;55;4.60
2014;rf;14801014;Majorna-Linné, Silverkällan;FI;FI;21;1.76
2014;rf;14801014;Majorna-Linné, Silverkällan;1209;1209;0;
2014;rf;14801014;Majorna-Linné, Silverkällan;1242;1242;0;
2014;rf;14801014;Majorna-Linné, Silverkällan;KrVP;KRVP;0;
2014;rf;14801014;Majorna-Linné, Silverkällan;PP;PP;3;0.25
2014;rf;14801014;Majorna-Linné, Silverkällan;RS;RS;1;0.08
2014;rf;14801014;Majorna-Linné, Silverkällan;SPVG;SPVG;8;0.67
2014;rf;14801014;Majorna-Linné, Silverkällan;SVP;SVP;1;0.08
2014;rf;14801014;Majorna-Linné, Silverkällan;VägV;VÄGV;19;1.59
2014;rf;14801014;Majorna-Linné, Silverkällan;ÖVR;ÖVR;7;0.59
2014;rf;14801015;Majorna-Linné, Skytteskogen;M;M;216;15.17
2014;rf;14801015;Majorna-Linné, Skytteskogen;C;C;54;3.79
