ar;val;kod;namn;parti_kalla;parti;roster;andel
2018;rd;14800000;Uppsamlingsdistrikt;M;M;2892;21.72
2018;rd;14800000;Uppsamlingsdistrikt;C;C;1107;8.31
2018;rd;14800000;Uppsamlingsdistrikt;L;L;971;7.29
2018;rd;14800000;Uppsamlingsdistrikt;KD;KD;678;5.09
2018;rd;14800000;Uppsamlingsdistrikt;S;S;2675;20.09
2018;rd;14800000;Uppsamlingsdistrikt;V;V;1747;13.12
2018;rd;14800000;Uppsamlingsdistrikt;MP;MP;1235;9.27
2018;rd;14800000;Uppsamlingsdistrikt;SD;SD;1637;12.29
2018;rd;14800000;Uppsamlingsdistrikt;FI;FI;166;1.25
2018;rd;14800000;Uppsamlingsdistrikt;AfS;AFS;60;0.45
2018;rd;14800000;Uppsamlingsdistrikt;BASIP;BASIP;7;0.05
2018;rd;14800000;Uppsamlingsdistrikt;DD;DD;15;0.11
2018;rd;14800000;Uppsamlingsdistrikt;DjuP;DJUP;10;0.08
2018;rd;14800000;Uppsamlingsdistrikt;EAP;EAP;1;0.01
2018;rd;14800000;Uppsamlingsdistrikt;ENH;ENH;6;0.05
2018;rd;14800000;Uppsamlingsdistrikt;INI;INI;3;0.02
2018;rd;14800000;Uppsamlingsdistrikt;KLP;KLP;5;0.04
2018;rd;14800000;Uppsamlingsdistrikt;KrVP;KRVP;6;0.05
2018;rd;14800000;Uppsamlingsdistrikt;LPo;LPO;2;0.02
2018;rd;14800000;Uppsamlingsdistrikt;MED;MED;54;0.41
2018;rd;14800000;Uppsamlingsdistrikt;NMR;NMR;5;0.04
2018;rd;14800000;Uppsamlingsdistrikt;NYREF;NYREF;0;0.00
2018;rd;14800000;Uppsamlingsdistrikt;PP;PP;30;0.23
2018;rd;14800000;Uppsamlingsdistrikt;SKP;SKP;0;0.00
2018;rd;14800000;Uppsamlingsdistrikt;TRP;TRP;1;0.01
2018;rd;14800000;Uppsamlingsdistrikt;ÖVR;ÖVR;3;0.02
2018;rd;14801011;Majorna-Linné, Gröna Vallen;M;M;82;7.56
2018;rd;14801011;Majorna-Linné, Gröna Vallen;C;C;62;5.71
2018;rd;14801011;Majorna-Linné, Gröna Vallen;L;L;35;3.23
2018;rd;14801011;Majorna-Linné, Gröna Vallen;KD;KD;23;2.12
2018;rd;14801011;Majorna-Linné, Gröna Vallen;S;S;217;20.00
2018;rd;14801011;Majorna-Linné, Gröna Vallen;V;V;397;36.59
2018;rd;14801011;Majorna-Linné, Gröna Vallen;MP;MP;130;11.98
2018;rd;14801011;Majorna-Linné, Gröna Vallen;SD;SD;104;9.59
2018;rd;14801011;Majorna-Linné, Gröna Vallen;FI;FI;14;1.29
2018;rd;14801011;Majorna-Linné, Gröna Vallen;AfS;AFS;5;0.46
2018;rd;14801011;Majorna-Linné, Gröna Vallen;BASIP;BASIP;1;0.09
2018;rd;14801011;Majorna-Linné, Gröna Vallen;DD;DD;2;0.18
2018;rd;14801011;Majorna-Linné, Gröna Vallen;DjuP;DJUP;3;0.28
2018;rd;14801011;Majorna-Linné, Gröna Vallen;EAP;EAP;0;0.00
2018;rd;14801011;Majorna-Linné, Gröna Vallen;ENH;ENH;1;0.09
2018;rd;14801011;Majorna-Linné, Gröna Vallen;INI;INI;0;0.00
2018;rd;14801011;Majorna-Linné, Gröna Vallen;KLP;KLP;0;0.00
2018;rd;14801011;Majorna-Linné, Gröna Vallen;KrVP;KRVP;0;0.00
2018;rd;14801011;Majorna-Linné, Gröna Vallen;LPo;LPO;0;0.00
2018;rd;14801011;Majorna-Linné, Gröna Vallen;MED;MED;4;0.37
2018;rd;14801011;Majorna-Linné, Gröna Vallen;NMR;NMR;1;0.09
2018;rd;14801011;Majorna-Linné, Gröna Vallen;NYREF;NYREF;0;0.00
2018;rd;14801011;Majorna-Linné, Gröna Vallen;PP;PP;4;0.37
2018;rd;14801011;Majorna-Linné, Gröna Vallen;SKP;SKP;0;0.00
