ar;val;kod;namn;parti_kalla;parti;roster;andel
2018;rf;14800000;Uppsamlingsdistrikt;M;M;1495;17.21
2018;rf;14800000;Uppsamlingsdistrikt;C;C;582;6.70
2018;rf;14800000;Uppsamlingsdistrikt;L;L;598;6.88
2018;rf;14800000;Uppsamlingsdistrikt;KD;KD;519;5.97
2018;rf;14800000;Uppsamlingsdistrikt;S;S;1930;22.22
2018;rf;14800000;Uppsamlingsdistrikt;V;V;1434;16.51
2018;rf;14800000;Uppsamlingsdistrikt;MP;MP;753;8.67
2018;rf;14800000;Uppsamlingsdistrikt;SD;SD;719;8.28
2018;rf;14800000;Uppsamlingsdistrikt;FI;FI;165;1.90
2018;rf;14800000;Uppsamlingsdistrikt;DEM;D;415;4.78
2018;rf;14800000;Uppsamlingsdistrikt;KrVP;KRVP;6;0.07
2018;rf;14800000;Uppsamlingsdistrikt;MED;MED;20;0.23
2018;rf;14800000;Uppsamlingsdistrikt;NMR;NMR;5;0.06
2018;rf;14800000;Uppsamlingsdistrikt;Rf;RF;4;0.05
2018;rf;14800000;Uppsamlingsdistrikt;RS;RS;12;0.14
2018;rf;14800000;Uppsamlingsdistrikt;SPVG;SPVG;8;0.09
2018;rf;14800000;Uppsamlingsdistrikt;ÖVR;ÖVR;22;0.25
2018;rf;14801011;Majorna-Linné, Gröna Vallen;M;M;68;6.18
2018;rf;14801011;Majorna-Linné, Gröna Vallen;C;C;56;5.09
2018;rf;14801011;Majorna-Linné, Gröna Vallen;L;L;35;3.18
2018;rf;14801011;Majorna-Linné, Gröna Vallen;KD;KD;26;2.36
2018;rf;14801011;Majorna-Linné, Gröna Vallen;S;S;204;18.53
2018;rf;14801011;Majorna-Linné, Gröna Vallen;V;V;422;38.33
2018;rf;14801011;Majorna-Linné, Gröna Vallen;MP;MP;94;8.54
2018;rf;14801011;Majorna-Linné, Gröna Vallen;SD;SD;88;7.99
2018;rf;14801011;Majorna-Linné, Gröna Vallen;FI;FI;34;3.09
2018;rf;14801011;Majorna-Linné, Gröna Vallen;DEM;D;64;5.81
2018;rf;14801011;Majorna-Linné, Gröna Vallen;KrVP;KRVP;0;0.00
2018;rf;14801011;Majorna-Linné, Gröna Vallen;MED;MED;3;0.27
2018;rf;14801011;Majorna-Linné, Gröna Vallen;NMR;NMR;1;0.09
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Rf;RF;0;0.00
2018;rf;14801011;Majorna-Linné, Gröna Vallen;RS;RS;0;0.00
2018;rf;14801011;Majorna-Linné, Gröna Vallen;SPVG;SPVG;5;0.45
2018;rf;14801011;Majorna-Linné, Gröna Vallen;ÖVR;ÖVR;1;0.09
2018;rf;14801012;Majorna-Linné, Klippan;M;M;114;11.49
2018;rf;14801012;Majorna-Linné, Klippan;C;C;36;3.63
2018;rf;14801012;Majorna-Linné, Klippan;L;L;63;6.35
2018;rf;14801012;Majorna-Linné, Klippan;KD;KD;37;3.73
2018;rf;14801012;Majorna-Linné, Klippan;S;S;194;19.56
2018;rf;14801012;Majorna-Linné, Klippan;V;V;300;30.24
2018;rf;14801012;Majorna-Linné, Klippan;MP;MP;91;9.17
2018;rf;14801012;Majorna-Linné, Klippan;SD;SD;76;7.66
2018;rf;14801012;Majorna-Linné, Klippan;FI;FI;23;2.32
2018;rf;14801012;Majorna-Linné, Klippan;DEM;D;52;5.24
2018;rf;14801012;Majorna-Linné, Klippan;KrVP;KRVP;1;0.10
2018;rf;14801012;Majorna-Linné, Klippan;MED;MED;1;0.10
2018;rf;14801012;Majorna-Linné, Klippan;NMR;NMR;1;0.10
2018;rf;14801012;Majorna-Linné, Klippan;Rf;RF;0;0.00
2018;rf;14801012;Majorna-Linné, Klippan;RS;RS;0;0.00
2018;rf;14801012;Majorna-Linné, Klippan;SPVG;SPVG;2;0.20
2018;rf;14801012;Majorna-Linné, Klippan;ÖVR;ÖVR;1;0.10
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;M;M;64;5.95
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;C;C;41;3.81
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;L;L;66;6.14
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;KD;KD;17;1.58
