ar;val;kod;namn;parti_kalla;parti;roster;andel
2022;kf;14800000;Uppsamlingsdistrikt;Alternativ för Sverige;AFS;12;0.15
2022;kf;14800000;Uppsamlingsdistrikt;Centerpartiet;C;507;6.16
2022;kf;14800000;Uppsamlingsdistrikt;Demokraterna;D;245;2.98
2022;kf;14800000;Uppsamlingsdistrikt;Direktdemokraterna;DD;3;0.04
2022;kf;14800000;Uppsamlingsdistrikt;Enhet;ENH;1;0.01
2022;kf;14800000;Uppsamlingsdistrikt;Förenade Demokratiska Partiet;FDP;5;0.06
2022;kf;14800000;Uppsamlingsdistrikt;Feministiskt initiativ;FI;70;0.85
2022;kf;14800000;Uppsamlingsdistrikt;Göteborgspartiet;GBGP;15;0.18
2022;kf;14800000;Uppsamlingsdistrikt;Kommunistiska Partiet;K;13;0.16
2022;kf;14800000;Uppsamlingsdistrikt;Kalle ankapartiet;KALLE;1;0.01
2022;kf;14800000;Uppsamlingsdistrikt;Kristdemokraterna;KD;343;4.17
2022;kf;14800000;Uppsamlingsdistrikt;Knapptryckarna;KNAPP;3;0.04
2022;kf;14800000;Uppsamlingsdistrikt;Kristna Värdepartiet;KRVP;9;0.11
2022;kf;14800000;Uppsamlingsdistrikt;Liberalerna (tidigare Folkpartiet);L;489;5.94
2022;kf;14800000;Uppsamlingsdistrikt;Moderaterna;M;1554;18.87
2022;kf;14800000;Uppsamlingsdistrikt;Medborgerlig Samling;MED;36;0.44
2022;kf;14800000;Uppsamlingsdistrikt;MoD;MOD;4;0.05
2022;kf;14800000;Uppsamlingsdistrikt;Miljöpartiet de gröna;MP;594;7.21
2022;kf;14800000;Uppsamlingsdistrikt;Partiet Nyans;NYANS;94;1.14
2022;kf;14800000;Uppsamlingsdistrikt;Piratpartiet;PP;8;0.10
2022;kf;14800000;Uppsamlingsdistrikt;Arbetarepartiet-Socialdemokraterna;S;2013;24.45
2022;kf;14800000;Uppsamlingsdistrikt;Sverigedemokraterna;SD;797;9.68
2022;kf;14800000;Uppsamlingsdistrikt;Stram Kurs Sverige;SKS;1;0.01
2022;kf;14800000;Uppsamlingsdistrikt;Vänsterpartiet;V;1416;17.20
2022;kf;14800000;Uppsamlingsdistrikt;Volt Sverige;VOLT;1;0.01
2022;kf;14800000;Uppsamlingsdistrikt;övriga anmälda partier;ÖVR;0;0.00
2022;kf;14800101;Nordöstra Göteborg, Bergum;Alternativ för Sverige;AFS;1;0.12
2022;kf;14800101;Nordöstra Göteborg, Bergum;Centerpartiet;C;40;4.81
2022;kf;14800101;Nordöstra Göteborg, Bergum;Demokraterna;D;50;6.01
2022;kf;14800101;Nordöstra Göteborg, Bergum;Feministiskt initiativ;FI;1;0.12
2022;kf;14800101;Nordöstra Göteborg, Bergum;Göteborgspartiet;GBGP;4;0.48
