ar;val;valkrets;antal_mandat;rostberattigade;kalla
2002;rd;Göteborgs kommun;17;357876;mandat: Valkretsmandat riksdag 1988-2014.xls kolumn 2002, rostberattigade valdagen: dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 VALDELTAGANDE RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL
2002;rf;Göteborgs kommun;;375849;fasta mandat 2002 saknas i kallorna, rostberattigade valdagen: dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 VALDELTAGANDE RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL
2002;kf;Göteborg 1;21;95683;mandat: summa MANDAT_FGVAL per parti i dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 (kommunval utan utjamningsmandat), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL
2002;kf;Göteborg 2;20;91942;mandat: summa MANDAT_FGVAL per parti i dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 (kommunval utan utjamningsmandat), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL
2002;kf;Göteborg 3;20;91671;mandat: summa MANDAT_FGVAL per parti i dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 (kommunval utan utjamningsmandat), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL
2002;kf;Göteborg 4;20;96553;mandat: summa MANDAT_FGVAL per parti i dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 (kommunval utan utjamningsmandat), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL
2006;rd;Göteborgs kommun;17;373836;mandat: dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 MANDAT_VALKRETS, rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2006;rf;Göteborgs kommun;44;387939;mandat: dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_VALKRETS, rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2006;kf;Göteborg 1;21;100382;mandat: dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 MANDAT_VALKRETS, rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2006;kf;Göteborg 2;20;95750;mandat: dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 MANDAT_VALKRETS, rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2006;kf;Göteborg 3;20;93404;mandat: dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 MANDAT_VALKRETS, rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2006;kf;Göteborg 4;20;98403;mandat: dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 MANDAT_VALKRETS, rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2010;rd;Göteborgs kommun;17;389821;mandat: valkretsmandat_R_2010.xls kolumn Mandat (rostberattigade dar: 387830), rostberattigade valdagen: slutresultat__1_/slutresultat_00R.xml KRETS_RIKSDAG 1416 VALDELTAGANDE RÖSTBERÄTTIGADE
2010;rf;Göteborgs kommun;44;405033;mandat: valkretsmandat_L_2010.xls kolumn Mandat (rostberattigade dar: 402471), rostberattigade valdagen: slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 VALDELTAGANDE RÖSTBERÄTTIGADE
2010;kf;Göteborg, Centrum;19;96553;mandat: valkretsmandat_K_2010.xls kolumn Mandat (rostberattigade dar: 96323), rostberattigade valdagen: slutresultat__1_/slutresultat_1480K.xml KRETS_KOMMUN 148003 VALDELTAGANDE RÖSTBERÄTTIGADE
2010;kf;Göteborg, Hisingen;22;107751;mandat: valkretsmandat_K_2010.xls kolumn Mandat (rostberattigade dar: 106708), rostberattigade valdagen: slutresultat__1_/slutresultat_1480K.xml KRETS_KOMMUN 148001 VALDELTAGANDE RÖSTBERÄTTIGADE
2010;kf;Göteborg, Väster;20;101341;mandat: valkretsmandat_K_2010.xls kolumn Mandat (rostberattigade dar: 100662), rostberattigade valdagen: slutresultat__1_/slutresultat_1480K.xml KRETS_KOMMUN 148004 VALDELTAGANDE RÖSTBERÄTTIGADE
2010;kf;Göteborg, Öster;20;99388;mandat: valkretsmandat_K_2010.xls kolumn Mandat (rostberattigade dar: 98778), rostberattigade valdagen: slutresultat__1_/slutresultat_1480K.xml KRETS_KOMMUN 148002 VALDELTAGANDE RÖSTBERÄTTIGADE
2011;rf;Göteborgs kommun;44;;mandat: mandatfordelning_per_valkrets_L.xls ANT_MAND_FAST (omvalet 2011-05-15), rostberattigade saknas i kallorna
2014;rd;Göteborgs kommun;17;406851;mandat: Valkretsmandat riksdag 2014.xls kolumn MANDAT (rostberattigade dar: 405016), rostberattigade valdagen: slutresultat/slutresultat_00R.xml KRETS_RIKSDAG 1416 VALDELTAGANDE RÖSTBERÄTTIGADE
2014;rf;Göteborgs kommun;44;425380;mandat: Valkretsmandat landsting 2014.xls kolumn MANDAT (rostberattigade dar: 423072), rostberattigade valdagen: slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 VALDELTAGANDE RÖSTBERÄTTIGADE
2014;kf;Göteborg, Centrum;19;100554;mandat: slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 MANDAT_VALKRETS (ingen valkretsmandat-fil for kommun 2014 bland kallorna), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2014;kf;Göteborg, Hisingen;22;115843;mandat: slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 MANDAT_VALKRETS (ingen valkretsmandat-fil for kommun 2014 bland kallorna), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2014;kf;Göteborg, Väster;20;104797;mandat: slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148004 MANDAT_VALKRETS (ingen valkretsmandat-fil for kommun 2014 bland kallorna), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2014;kf;Göteborg, Öster;20;104186;mandat: slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148002 MANDAT_VALKRETS (ingen valkretsmandat-fil for kommun 2014 bland kallorna), rostberattigade valdagen: VALDELTAGANDE RÖSTBERÄTTIGADE
2018;rd;Göteborgs kommun;17;418425;mandat: summa FASTA MANDAT i 2018_mandat.xlsx VALTYP R VALKRETSKOD 16, rostberattigade valdagen: summa RÖSTBERÄTTIGADE i 2018_R_per_valdistrikt.xlsx flik R antal, LÄNSKOD 14 KOMMUNKOD 80
2018;rf;Göteborgs kommun;45;441183;mandat: summa FASTA MANDAT i 2018_mandat.xlsx VALTYP L VALKRETSKOD 1 (Västra Götalands läns landsting), rostberattigade valdagen: summa RÖSTBERÄTTIGADE i 2018_L_per_valdistrikt.xlsx flik L antal
2018;kf;Göteborg;81;441183;mandat: summa FASTA MANDAT i 2018_mandat.xlsx VALTYP K Göteborg VALKRETSKOD 0 (hela kommunen en valkrets), rostberattigade valdagen: summa RÖSTBERÄTTIGADE i 2018_K_per_valdistrikt.xlsx flik K antal
2022;rd;Göteborgs kommun;;434273;fasta mandat 2022 saknas i kallorna (jamforande-filen ger bara summa mandat), rostberattigade valdagen: summa Röstberättigade per valdistrikt i Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD, Kommun Göteborg, Valkretskod 16
2022;rf;Göteborgs kommun;;463983;fasta mandat 2022 saknas i kallorna, rostberattigade valdagen: summa Röstberättigade per valdistrikt i roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-regionval-2022.xlsx flik roster_RF, Kommun Göteborg, Valkretskod 1401
2022;kf;Göteborg;81;463983;mandat: Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Kommun Göteborg (hela kommunen en valkrets, Valkretskod 148000), rostberattigade valdagen: summa Röstberättigade per valdistrikt i roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
