ar;kod;namn;kommunvalkrets_kod;kommunvalkrets;lokal;adress1;adress2;adress3;postort;tillganglighet;status;x_rt90;y_rt90;latitud;longitud;koord_kalla;valdag;dag;oppetpass;aktiv_rd;aktiv_rf;aktiv_kf;aktiv_eu;valdag_eu;kommun_klar;lokal_klar;valnamnd;hemsida;telnr;kalla_fil
2014;14801011;Majorna-Linné, Klippan;148004;Göteborg, Väster;Dalheimers hus;Dalheimersalen;Slottskogsgatan 12;;;;E;6402732;1268270;57.689616;11.918709;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801012;Majorna-Linné, Kungsladugård;148004;Göteborg, Väster;Kungsladugårdsskolan;Sal 146;Birger Jarlsgat. 1, entré B;;;;E;6402218;1268384;57.685071;11.921109;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801013;Majorna-Linné, Mariaplan;148004;Göteborg, Väster;Sannaskolan;Sal 346;Jordhyttegatan 5, ingång C;;;;E;6402180;1267935;57.684499;11.913636;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801014;Majorna-Linné, Silverkällan;148004;Göteborg, Väster;Sannaskolan;Matsalen;Jordhyttegatan 5, ingång C;;;;E;6402180;1267935;57.684499;11.913636;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801015;Majorna-Linné, Skytteskogen;148004;Göteborg, Väster;Kungsladugårdsskolan;Sal 145;Birger Jarlsgat. 1, entré B;;;;E;6402218;1268384;57.685071;11.921109;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801016;Majorna-Linné, Svalebo;148004;Göteborg, Väster;Kungsladugårdsskolan;Sal 144;Birger Jarlsgat. 1, entré B;;;;E;6402218;1268384;57.685071;11.921109;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801021;Majorna-Linné, Sandarne;148004;Göteborg, Väster;Sannaskolan;Matsalen;Jordhyttegatan 5, ingång C;;;;E;6402180;1267935;57.684499;11.913636;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801031;Majorna-Linné, Godhem;148004;Göteborg, Väster;SK Argo klubbhus;Samlingssal;Ekedalsgatan 26;;;;E;6402398;1269037;57.687018;11.931859;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801032;Majorna-Linné, Gråberget;148004;Göteborg, Väster;Dalheimers hus;Dalheimerssalen;Slottskogsgatan 12;;;;E;6402715;1268256;57.689457;11.918491;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801033;Majorna-Linné, Hängmattan;148004;Göteborg, Väster;Miljöförvaltningen;Utställningssalen;Karl Johansgatan 23-25;;;;E;6403521;1268789;57.696951;11.926634;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
