ar;lokal;adress;antal_distrikt;koder;distriktnamn;latitud;longitud;antal_koordinater
2014;1200 kvadrat Ungdomens Hus;Mandolingatan 47;1;14805173;Askim-Frölunda-Högsbo, Gånglåten;57.653356;11.911594;1
2014;Amhultsgården;Amhults Byväg 10;1;14807051;Västra Hisingen, Amhult-Arendal;57.711500;11.771499;1
2014;Annedals äldreboende;Carl Grimbergsgatan 11;2;14801081 14801097;Majorna-Linné, Annedal | Majorna-Linné, Sveaplan;57.692781;11.959574;1
2014;Arbetsmarknadstorget;Vågmästaregatan 1C;1;14804154;Lundby, Porslinsfabriken;57.720405;11.948241;1
2014;Askimsskolan;Askims Backaväg;2;14805235 14805236;Askim-Frölunda-Högsbo, Sisjön, Norra | Askim-Frölunda-Högsbo, Sisjön, Södra;57.636352;11.939409;1
2014;Assaredsskolan;Decenniumgatan 16;2;14803034 14803041;Östra Göteborg, Kortedala, Västra | Östra Göteborg, Adventsparken;57.756085;12.025053;1
2014;Backa Folkets Hus;Granåsgatan 2;1;14804102;Norra Hisingen, Backa-Tingstad;57.734831;11.974294;1
2014;Backa Scoutkår;Haletorpsvägen 14;1;14804124;Norra Hisingen, Wadköpingsgatan;57.739967;11.972070;1
2014;Backaskolan;Backa Kyrkogata 11;2;14804121 14804123;Norra Hisingen, Backa | Norra Hisingen, Bällskär;57.740768;11.978338;1
2014;Backatorpsskolan;Båtsman Kapers gata 3;1;14804135;Norra Hisingen, Åketorp;57.760972;11.969725;1
2014;Backegårdsskolan;Universumsgatan 3;1;14803061;Östra Göteborg, Bergsjön, Södra;57.750439;12.067013;1
2014;Bagaregårdens äldreboende;Landerigatan 17;2;14802022 14802031;Örgryte-Härlanda, Ånäs | Örgryte-Härlanda, Redbergslid;57.722351;12.011679;1
2014;Bergsgårdsskolan;Skolspåret 29;3;14806122 14806123 14806124;Angered, Hjällbo, Norra | Angered, Hjällbo, Södra | Angered, Skolspåret;57.770576;12.016032;2
2014;Bergsjöskolan, Matsalen;Ingång från skolgården;1;14803063;Östra Göteborg, Komettorget;57.755892;12.068147;1
2014;Bergsjöskolan, Matsalen;Rymdtorget 4;1;14803064;Östra Göteborg, Rymdtorget;57.755892;12.068147;1
2014;Bergums Skola;Olofstorps Skolväg 9 D-F;2;14806111 14806112;Angered, Björsared-Knipared | Angered, Olofstorp;57.805491;12.167826;2
2014;Biskopsgårdens bibliotek,;Vårväderstorget 3;1;14807083;Västra Hisingen, Vårväderstorget;57.712020;11.892122;1
2014;Bjurslättsskolan;Wieselgrensgatan 11;3;14804022 14804024 14804026;Lundby, Flunsås | Lundby, Kvillebäcken, Södra | Lundby, Wieselgrensplatsen;57.723954;11.934962;2
2014;Björkekärrs församlingshem;Sörensens gata 1;1;14802124;Örgryte-Härlanda, Björkekärr, Östra;57.714126;12.047118;1
2014;Björkåsskolan;Jordledningsgatan 3;2;14805132 14805151;Askim-Frölunda-Högsbo, Tofta | Askim-Frölunda-Högsbo, Järnbrott, V;57.655219;11.929771;1
2014;Bläseboskolan;Bollplansgatan 10;1;14806121;Angered, Bläsebo;57.767820;12.027055;1
2014;Botanhuset;Carl Skottbergsgatan 22 B;1;14801061;Majorna-Linné, Änggården;57.682057;11.950359;1
2014;Brudbergsskolan;Heidenstams gata 2;2;14804122 14804134;Norra Hisingen, Backa Röd | Norra Hisingen, Skälltorp;57.752227;11.979512;1
2014;Brunnsboskolan;Klassikergatan 1;2;14804101 14804103;Norra Hisingen, Aröd | Norra Hisingen, Brunnsbo;57.730841;11.970449;1
2014;Bräckeskolan;Tönsbergsgatan 1;3;14804142 14804145 14804163;Lundby, Bräcke, Södra | Lundby, Lundby, Södra | Lundby, Eriksberg, Östra;57.703759;11.905014;2
2014;Brämaregårdens församl.hem;Hisingsgatan 26;2;14804151 14804152;Lundby, Brämaregården, Norra | Lundby, Brämaregården, Östra;57.718464;11.944703;1
2014;Brännö skola;Jydeklovan 2;1;14805051;Västra Göteborg, Brännö-Asperö;57.640327;11.779846;1
2014;Burgårdens gymnasium;Skånegatan 20;6;14801104 14801105 14801173 14801182 14801183 14801184;Centrum, Getebergsäng | Centrum, Kristinehöjd | Centrum, Gårda, Norra | Centrum, Gårda, Södra | Centrum, Heden | Centrum, Hedås;57.700230;11.986482;1
2014;Båtmansgården;Kaverösterrassen 1;1;14805092;Askim-Frölunda-Högsbo, Kaverös, N;57.665636;11.918964;1
2014;Carl Johans församlingshem;Carl Johans Kyrkoplan 1;1;14801034;Majorna-Linné, Majorna;57.696186;11.922217;1
2014;Dalaskolan;Grimmeredsvägen 10;2;14805041 14805042;Västra Göteborg, Ekebäck | Västra Göteborg, Grimmered;57.678773;11.901080;1
2014;Dalheimers hus;Slottskogsgatan 12;3;14801011 14801032 14801036;Majorna-Linné, Klippan | Majorna-Linné, Gråberget | Majorna-Linné, Slottsskogsgatan m fl;57.689457;11.918491;2
2014;Donsö skola;Grådalsvägen 20;1;14805052;Västra Göteborg, Donsö-Vrångö;57.597469;11.802136;1
2014;Eriksboskolan;Eriksbo Östergärde 45;1;14806131;Angered, Eriksbo;57.770252;12.043552;1
2014;Ester Mosessons gymnasium;Lärdomsgatan 5;1;14804172;Lundby, Lundbyvassen;57.705599;11.936672;1
2014;Fd Björkhöjdsskolan;Trollbärsvägen 18 B;2;14805061 14805081;Västra Göteborg, Bratthammar | Västra Göteborg, Tynnered;57.651730;11.891550;2
2014;Fiskebäcksskolan;Norra Fiskebäcksvägen 296;2;14805012 14805013;Västra Göteborg, Fiskebäck, Norra | Västra Göteborg, Fiskebäck, Södra;57.653492;11.866998;1
2014;Fjällboskolan;Sysslomansgatan;1;14803021;Östra Göteborg, Fjällbo;57.739727;12.061247;1
2014;Fjällskolan;Fjällgatan 40;3;14801051 14801052 14801056;Majorna-Linné, Masthugget, Nedre | Majorna-Linné, Masthugget, Övre | Majorna-Linné, Stigberget;57.695021;11.939026;2
2014;Flatåsskolan;Nymilsgatan 33;3;14805091 14805101 14805161;Askim-Frölunda-Högsbo, Kavås | Askim-Frölunda-Högsbo, Flatås, V | Askim-Frölunda-Högsbo, Flatås, Ö;57.663992;11.926300;2
2014;Forum Kortedala torg;Kortedala torg 1;1;14803035;Östra Göteborg, Kortedala, Östra;57.752515;12.032185;1
2014;Forum Radiotorget;Radiotorget 1;1;14805152;Askim-Frölunda-Högsbo, Järnbrott, Ö;57.657449;11.932450;1
2014;Framnäsgården;Glasmästaregatan 6 B;1;14801106;Centrum, Krokslätt;57.683486;11.991535;1
2014;Framnäsgården;Glasmästaregatan 6 C;1;14801103;Centrum, Fridkullagatan m fl;57.683583;11.991776;1
2014;Framnäsgården;Glasmästaregatan 6A;1;14801108;Centrum, Olofshöjd;57.683473;11.991117;1
2014;Fritidsgården Pilen;Askims Pilegårdsväg;1;14805234;Askim-Frölunda-Högsbo, Pilegården;57.643912;11.937096;1
2014;Frölundaskolan;Positivgatan 3;5;14805093 14805131 14805141 14805171 14805174;Askim-Frölunda-Högsbo, Kaverös, S | Askim-Frölunda-Högsbo, Spinetten | Askim-Frölunda-Högsbo, Ruddalen | Askim-Frölunda-Högsbo, Frölunda | Askim-Frölunda-Högsbo, Mandolingatan;57.657038;11.913865;2
2014;Förskolan Nova;Friarelyckan 55;2;14804071 14804076;Norra Hisingen, Gerrebacka-Ingebäck | Norra Hisingen, Mysterna-Svankälla;57.809721;11.979562;1
2014;Förtroenderådets saml.lokal;Gibraltargatan 78;1;14801107;Centrum, Mossen;57.683333;11.993329;1
2014;Gamlestadens Medborgarhus;Brahegatan 11;3;14803011 14803012 14803015;Östra Göteborg, Bellevue | Östra Göteborg, Gamlestaden | Östra Göteborg, Nylöse;57.730953;12.012306;1
2014;Glöstorpsskolan;Glöstorpsvägen 26;2;14804051 14804054;Norra Hisingen, Glöstorp | Norra Hisingen, Tuve;57.752721;11.927276;2
2014;Grevegårdskolans paviljong;Kråkbärsgatan 1;1;14805071;Västra Göteborg, Beryllg.-Guldringen;57.654040;11.891267;1
2014;Guldhedsskolan;Doktor Heymans gata 1;2;14801133 14801134;Centrum, Guldheden, Centrala | Centrum, Guldheden, Norra;57.686851;11.969668;2
2014;Guldhedsskolan;Dr Heymans gata 1;1;14801131;Centrum, Doktor Forselius gata m fl;57.687132;11.969470;1
2014;Gunnestorpsskolan;Grinnekullegatan;1;14804052;Norra Hisingen, Gunnestorp;57.749505;11.920275;1
2014;Gunnilseskolan;Lilla Ekebacken 6;1;14806101;Angered, Gunnilse-Linnarhult;57.786303;12.087329;1
2014;Gärdsmosseskolan;Galaxgatan 3;2;14803052 14803054;Östra Göteborg, Gärdsmosse | Östra Göteborg, Siriusgatan;57.760108;12.050880;1
2014;Gårdstensskolan;Muskotgatan 2 A;2;14806031 14806034;Angered, Gårdsten, Norra | Angered, Gårdsten, Östra;57.804815;12.029899;1
2014;Göteborgs Universitet;Vasaparken;3;14801151 14801152 14801154;Centrum, Valand | Centrum, Vasastaden, Norra | Centrum, Vasastaden, Östra;57.698896;11.970839;2
2014;HSB Linjalens Klubbstuga,;Västra Stillestorpsgatan 21;1;14804155;Lundby, Rambergsstaden, Norra;57.718252;11.936025;1
2014;Hagaskolan;Skolgatan 22;2;14801053 14801094;Majorna-Linné, Masthuggstorget | Majorna-Linné, Långgatorna;57.697461;11.958305;1
2014;Hagenskolan;Hagens Kapellväg 1;2;14805031 14805033;Västra Göteborg, Hagen | Västra Göteborg, Tångudden;57.676213;11.883723;1
2014;Hammarhus äldreboende;Hammarkulletorget 62 A;2;14806061 14806063;Angered, Hammarkullen, Västra | Angered, Sandeslätt;57.780859;12.034557;1
2014;Hammarkulleskolan;Gropens Gård 36;1;14806062;Angered, Hammarkullen, Östra;57.782353;12.033106;1
2014;Hammarkullsskolan;Gropens Gård 36;1;14806051;Angered, Agnesberg;57.782287;12.033331;1
2014;Handelshögskolan;Vasagatan 1;5;14801071 14801072 14801082 14801091 14801096;Majorna-Linné, Haga | Majorna-Linné, Skansberget | Majorna-Linné, Nilssonsberg | Majorna-Linné, Kommendantsängen | Majorna-Linné, Risåsen;57.697350;11.961456;2
2014;Herrgårdsskolan;Ceresgatan 16;2;14804165 14804171;Lundby, Sannegården | Lundby, Lindholmen;57.707732;11.930548;2
2014;Hjuviksgården;Hjuviks Bryggväg 22;1;14807042;Västra Hisingen, Hjuvik;57.705475;11.712980;1
2014;Hovåsskolan;Askims Kyrkväg 10-12;2;14805241 14805242;Askim-Frölunda-Högsbo, Hovås, Södra | Askim-Frölunda-Högsbo, Trollåsen;57.619525;11.940781;1
2014;Hultskolan;Hults gata 28;1;14805233;Askim-Frölunda-Högsbo, Hult;57.636544;11.925446;1
2014;Humlelyckan;Brunstorpsvägen 41;1;14804061;Norra Hisingen, Säve;57.804296;11.906632;1
2014;Hvitfeldtska gymnasiet;Rektorsgatan 2;3;14801112 14801121 14801141;Centrum, Johanneberg, Nedre | Centrum, Landala | Centrum, Lorensberg;57.695981;11.974375;1
2014;Hyresgästför. Kvibergshuset;Beväringsgatan 9;1;14803013;Östra Göteborg, Kviberg, Västra;57.740001;12.027239;1
2014;Hyresgästförening Kastanjen;Bondegatan 1;1;14802012;Örgryte-Härlanda, Olskroken;57.715311;11.997521;1
2014;Högsbo bibliotek;Axel Dahlströms torg 3;1;14805122;Askim-Frölunda-Högsbo, Högsbotorp, V;57.670836;11.927012;1
2014;Högsbotorpshemmet;Markmyntsgatan 14;1;14805121;Askim-Frölunda-Högsbo, Högsbo;57.670358;11.928136;1
2014;Hökegården;Rimfrostgatan 2;2;14807023 14807032;Västra Hisingen, Länsmansgården, S | Västra Hisingen, Stackmolnsg. m fl;57.730316;11.892882;1
2014;Idrottsgården Kvarnevi;Rödbo Idrottsgata 9;1;14804081;Norra Hisingen, Rödbo;57.851485;11.994193;1
2014;Idrottsmuseet;Övre Kaserngården 12;1;14803014;Östra Göteborg, Kviberg, Östra;57.736114;12.032501;1
2014;Johannebergsskolan;Olof Rudbecksgatan 4;3;14801111 14801113 14801114;Centrum, Eklanda | Centrum, Johanneberg, Södra | Centrum, Johanneberg, Övre;57.690562;11.984438;3
2014;Kallebäcks Träffpunkt;Omvägen 13;1;14802041;Örgryte-Härlanda, Kallebäck, Västra;57.685691;12.008956;1
2014;Kallebäcks äldreboende;Smörkärnegatan 3 A;1;14802042;Örgryte-Härlanda, Kallebäck, Östra;57.679440;12.014174;1
2014;Kalvhagsskolan Styrsö;Styrsö Tångenväg 51;1;14805053;Västra Göteborg, Styrsö-Köpstadsö;57.617378;11.777547;1
2014;Kannebäcksskolan;Bronsåldersgatan 82;1;14805221;Västra Göteborg, Opaltorget, Norra;57.641346;11.904502;1
2014;Karl Johansskolan;Koopmansgatan 14-16;3;14801041 14801042 14801044;Majorna-Linné, Djurgårdsgatan m fl | Majorna-Linné, Gatenhielmska | Majorna-Linné, Söderlingska ängen;57.694912;11.929873;1
2014;Katrinelundsgymnasiet;Skåneg 14, entré vid Ullevi;4;14801171 14801172 14801174 14801181;Centrum, Friggagatan-Stampen | Centrum, Gullbergsvass-Svingeln | Centrum, Odinsgatan-Stampen | Centrum, Bohusgatan m fl;57.703188;11.985650;1
2014;Klarebergsskolan;Kärra Centr/Lillekärr N 193;2;14804074 14804075;Norra Hisingen, Kärra, Västra | Norra Hisingen, Kärra, Östra;57.795053;11.988792;1
2014;Krokslätts äldreboende;Fredriksdalsgatan 3 A;2;14801101 14801102;Centrum, Framnäs | Centrum, Fredriksdal;57.682812;11.996606;1
2014;Kulturhuset Blå Stället;Angereds Torg 13;1;14806041;Angered, Angereds Centrum;57.795894;12.050878;1
2014;Kulturhuset Blå stället;Angereds Torg 13;1;14806042;Angered, Trägårdsgärdet;57.795894;12.050878;1
2014;Kulturhuset Kåken;Kålltorpsgatan 2;2;14802021 14802091;Örgryte-Härlanda, Bagaregården | Örgryte-Härlanda, Härlanda;57.716550;12.014823;2
2014;Kulturpunkten;Tuve torg 5;1;14804053;Norra Hisingen, Norumshöjd;57.755549;11.926855;1
2014;Kungsladugårdsskolan;Birger Jarlsgat. 1, entré B;3;14801012 14801015 14801016;Majorna-Linné, Kungsladugård | Majorna-Linné, Skytteskogen | Majorna-Linné, Svalebo;57.685071;11.921109;1
