ar;typ;adress;lokal_fil;status;kommentar
2002;indexsida;https://historik.val.se/val/val_02/slutresultat/index.html;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2002/slutresultat_index_2002.html;ok;2002 ars valpresentation, enbart HTML i textformat. Lokalt: 3635 byte
2002;valgeografi_2002;https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/valse_radata_2002_2022.html;finns_ej;Ingen valgeografi finns for 2002. Radatasidan sager att 2002 ars material bara finns i rent textformat pa historik.val.se/val/val_02/. Sokning i Internet Archive over val.se-domaner ger tidigast GIS-material fran 2006 (kartor) och 2009 (EP). Lokalt: 260685 byte
2006;indexsida;https://historik.val.se/val/val2006/slutlig_ovrigt/statistik/index.html;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/statistik_2006.html;ok;2006 ars statistiksida ligger under slutlig_ovrigt, inte under statistik som ovriga ar. Lokalt: 5843 byte
2006;valgeografi_2006;https://historik.val.se/val/val2006/slutlig_ovrigt/statistik/kartor/riksdagen_i_valdistrikt.zip;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/2006_kartor.html;ok;Shapefil, 23361427 byte enligt Content-Length, redan uppackad lokalt i scratchpad/unz/riksdagen_i_valdistrikt/. Kartsidan listar aven landstingen_i_valdistrikt.zip, riksdagen_i_onsdagsdistrikt.zip, riksdagen_i_kommuner.zip och riksdagen_i_riksdagsvalkretsar.zip. Lokalt: 8007 byte
2006;xml_index;https://historik.val.se/val/val2006/slutlig/xml/index.html;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2006_xml_index.html;ok;Forteckning over 2006 ars XML-filer. 2006 ars XML saknar FGVAL, eftersom 2002 inte rapporterades i samma format. Lokalt: 74097 byte
2010;mappning_2006_2010;https://historik.val.se/val/val2010/statistik/index.html;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/statistik_2010.html;ersatt;Ingen officiell mappningsfil finns, samma sokning som for 2010-2014. Ersatts av ROSTER_FGVAL i 2010 ars XML (scratchpad/unz/slutresultat__1_/), som anger 2006 ars rostetal per parti och valdistrikt. Lokalt: 25018 byte
2014;mappning_2010_2014;https://historik.val.se/val/val2014/statistik/index.html;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/statistik_2014.html;ersatt;Ingen officiell mappningsfil finns. 2014 ars statistiksida listar 96 lankar och ingen heter mappning eller indelning. Sokning i Internet Archive over alla val.se-domaner ger bara mappning_2014_2018.zip och mappning_ep2014_ep2019.zip. Ersatts av attributet ROSTER_FGVAL i 2014 ars XML (scratchpad/unz/slutresultat/), som anger 2010 ars rostetal per parti och valdistrikt. Lokalt: 29026 byte
2018;indexsida;https://historik.val.se/val/val2018/statistik/index.html;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/statistik_2018.html;ok;Kallforteckning for 2018. Har hittas mappning_2014_2018.zip och 2018_valgeografi_valdistrikt.zip. Lokalt: 18042 byte
2018;mappning_2014_2018;https://historik.val.se/val/val2018/statistik/mappning_2014_2018.zip;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2018/mappning_2014_2018_historik.zip;ok;Officiell skv-mappning. Innehaller vd-mappning-2014-2018.skv, vd-indelning-2018.skv, upp-mappning-2014-2018.skv, upp-indelning-2018.skv. Samma innehall som den redan uppackade mappen scratchpad/unz/mappning_2014_2018/. Lokalt: 60942 byte
2018;slutresultat_xml_fgval;https://web.archive.org/web/20210926125427id_/https://data.val.se/val/val2018/slutresultat/slutresultat.zip;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2018/slutresultat_2018_wayback.zip;ok;875 filer, Valmyndighetens XML for hela riket. Innehaller slutresultat_1480R/L/K.xml (Goteborg, 350 valdistrikt) och slutresultat_00R/L/K.xml (riket) med attributen ROSTER_FGVAL, PROCENT_FGVAL och PROCENT_ANDRING mot 2014 (VALDAG_FGVAL=20140914). Uppackade till 2018/unz/. Lokalt: 48716326 byte
2018;slutresultat_xml_fgval_ursprunglig;https://data.val.se/val/val2018/slutresultat/slutresultat.zip;;finns_ej;Ursprunglig adress ger nu 404. Finns varken pa historik.val.se/val/val2018/slutresultat/ eller lankad fran 2018 ars statistiksida. Enda kanda kopian ar Internet Archive-ogonblicksbilden fran 2021-09-26
2018;valnatt_xml;https://historik.val.se/val/val2018/valnatt/valnatt.zip;;ok;Finns live, 5422062 byte enligt Content-Length. Valnattsrakning, inte slutresultat. Inte hamtad, eftersom slutresultatet redan finns
2022;jamforande_statistik_riksdag;https://www.val.se/download/18.162047b519a91d05331197bd/1786611369096/slutligt-valresultat-riksdagen-jamforande-statistik-2018-2022.xlsx;;ok;Finns redan i projektroten som slutligt-valresultat-riksdagen-jamforande-statistik-2018-2022.xlsx, hamtades inte om
2022;jamforande_statistik_riksdag_prel;https://www.val.se/download/18.162047b519a91d0533118d2d/1663745020932/preliminar-riksdagsval-jamforande-statistik-2018-2022-med-uppsamlingsdistrikt-ny.xlsx;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2022/preliminar-riksdagsval-jamforande-statistik-2018-2022-med-uppsamlingsdistrikt-ny.xlsx;ok;Namnet lovar uppsamlingsdistrikt men filen har bara flikarna Riksdag, Valkrets och Per Kommun. Ingen valdistriktsniva, alltsa inte anvandbar som distriktsjamforelse. Lokalt: 453880 byte
2022;mandatjamforelse_2018_2022;https://www.val.se/download/18.162047b519a91d0533119cdb/1665670301237/Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx;;ok;Finns redan i projektroten som Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx, hamtades inte om
2022;mappning_2018_2022;https://www.val.se/download/18.162047b519a91d0533119148/1666857349837/jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2022/jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx;ok;Valmyndighetens slutliga bedomning 2022-10-27. Flikar 'Fysiska valdistrikt' och 'Uppsamlingsdistrikt'. Kalla till data/historik/mappning_2018_2022.csv. Lankad fran sidorna 'Analyser och jamforelser' och 'Radata fran val 2002-2022'. Lokalt: 423331 byte
2022;mappning_2018_2022_preliminar;https://www.val.se/download/18.14c1f613181ed0043d5563c/1662367533764/jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt.xlsx;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2022/jamforelser_2018_2022_valdistrikt_uppsamlingsdistrikt.xlsx;ok;"Forsta versionen, publicerad 2022-09-05 fore valdagen. Adressen ger nu 404 pa val.se; filen finns via Internet Archive. Identisk med v2 for Goteborgs 410 rader. Lokalt: 423204 byte"
2022;resultat_json_fgval;https://resultat.val.se/data/resultat/val2022/{path}_S.json;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2022/json/;ok;Valmyndighetens JSON bakom resultat.val.se. Adressmonstret ar hamtat ur webbappens JS-bundle. Varje valdistrikt har antalRosterForegaendeVal, andelRosterForegaendeVal, forandringAntalRoster, forandringAndelRoster och flaggan jamforbar. Hamtat med scripts/historik/webbkallor_hamta_2022_json.py, se manifest.csv i mappen. Lokalt: 1239 filer, 31507935 byte
2022;resultat_json_kontroll;https://resultat.val.se/data/resultat/val2022/KF_01_0114_01140101_S.json;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2022/json_kontroll/;ok;Kontrollhamtning utanfor Goteborg. Ovra Runby i Upplands Vasby, som jamforelsefilen anger som jamforbart mot samma kod 2018, har anda jamforbar=false och nollade jamforelsefalt. Aven P-varianterna, dvs preliminart rakningstillfalle, hamtade for samma kontroll. Lokalt: 7 filer, 59320 byte
2022;sida_analyser_jamforelser;https://www.val.se/valresultat-och-statistik/statistik-och-data/analyser-och-jamforelser;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/valse_analyser-och-jamforelser.html;ok;Sidan dar mappningen 2018 till 2022 publiceras. Lokalt: 222620 byte
2022;sida_radata_2002_2022;https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/index/valse_radata_2002_2022.html;ok;Sidan listar 2022 ars radata och lankar vidare till historik.val.se for 2002-2018. Lokalt: 260685 byte
2022;valgeografi_json;https://resultat.val.se/data/valgeografi/valgeografi_val2022.json;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2022/valgeografi_val2022.json;ok;Tradstruktur valtillfalle - valtyp - valkrets - kommun - valdistrikt med koder och namn. 410 attasiffriga koder for Goteborg, samma mangd som i jamforelsefilen. Lokalt: 1744628 byte
2026;mandatjamforelse_2022_2026;https://www.val.se/download/18.3eba56b819e04244a687ae/1778508116907/fordelning-av-mandat-2022-och-2026.xlsx;/private/tmp/claude-501/-Users-daniel-code-Temp/f347baf2-1af3-43b3-b36d-e80b868ede0e/scratchpad/dl_webb/2026/fordelning-av-mandat-2022-och-2026.xlsx;ok;Mandatfordelning 2022 och 2026 per valkrets. Lokalt: 34982 byte
